地区,国家,确诊,疑似,治愈,新增确诊,新增治愈,新增死亡,死亡,日期
巴林,巴林,56,,4,56,4,0,0,2020-03-07
日本,日本,420,,46,420,46,6,6,2020-03-07
辽宁省,中国,125,,107,125,107,1,1,2020-03-07
伊拉克,伊拉克,46,,0,46,0,4,4,2020-03-07
伊朗,伊朗,5823,,1669,5823,1669,145,145,2020-03-07
西班牙,西班牙,387,,2,387,2,1,1,2020-03-07
德国,德国,687,,14,687,14,0,0,2020-03-07
美国,美国,324,,10,324,10,14,14,2020-03-07
比利时,比利时,109,,1,109,1,0,0,2020-03-07
马来西亚,马来西亚,83,,23,83,23,0,0,2020-03-07
加拿大,加拿大,53,,4,53,4,0,0,2020-03-07
波兰,波兰,5,,0,5,0,0,0,2020-03-07
菲律宾,菲律宾,6,,1,6,1,1,1,2020-03-07
印度尼西亚,印度尼西亚,4,,0,4,0,0,0,2020-03-07
塞尔维亚,塞尔维亚,1,,0,1,0,0,0,2020-03-07
阿根廷,阿根廷,8,,0,8,0,0,0,2020-03-07
新西兰,新西兰,5,,0,5,0,0,0,2020-03-07
湖北省,中国,67666,,43500,67666,43500,2959,2959,2020-03-07
韩国,韩国,7041,,108,7041,108,47,47,2020-03-07
意大利,意大利,4636,,523,4636,523,197,197,2020-03-07
法国,法国,613,,12,613,12,9,9,2020-03-07
瑞士,瑞士,210,,3,210,3,1,1,2020-03-07
英国,英国,163,,8,163,8,1,1,2020-03-07
荷兰,荷兰,128,,0,128,0,1,1,2020-03-07
挪威,挪威,113,,0,113,0,0,0,2020-03-07
瑞典,瑞典,137,,0,137,0,0,0,2020-03-07
奥地利,奥地利,55,,0,55,0,0,0,2020-03-07
丹麦,丹麦,23,,1,23,1,0,0,2020-03-07
卡塔尔,卡塔尔,11,,0,11,0,0,0,2020-03-07
澳大利亚,澳大利亚,64,,22,64,22,2,2,2020-03-07
希腊,希腊,46,,0,46,0,0,0,2020-03-07
捷克,捷克,18,,0,18,0,0,0,2020-03-07
以色列,以色列,21,,2,21,2,0,0,2020-03-07
芬兰,芬兰,15,,1,15,1,0,0,2020-03-07
斯洛文尼亚,斯洛文尼亚,6,,0,6,0,0,0,2020-03-07
钻石公主号邮轮,钻石公主号邮轮,696,,0,696,0,6,6,2020-03-07
葡萄牙,葡萄牙,8,,0,8,0,0,0,2020-03-07
巴西,巴西,13,,0,13,0,0,0,2020-03-07
爱尔兰,爱尔兰,18,,0,18,0,0,0,2020-03-07
爱沙尼亚,爱沙尼亚,10,,0,10,0,0,0,2020-03-07
冰岛,冰岛,45,,0,45,0,0,0,2020-03-07
罗马尼亚,罗马尼亚,9,,3,9,3,0,0,2020-03-07
新加坡,新加坡,130,,82,130,82,0,0,2020-03-07
埃及,埃及,15,,1,15,1,0,0,2020-03-07
泰国,泰国,50,,31,50,31,1,1,2020-03-07
印度,印度,33,,3,33,3,0,0,2020-03-07
印度,印度尼西亚,33,,3,33,3,0,0,2020-03-07
科威特,科威特,58,,0,58,0,0,0,2020-03-07
圣马力诺,圣马力诺,23,,0,23,0,0,0,2020-03-07
俄罗斯,俄罗斯,8,,2,8,2,0,0,2020-03-07
卢森堡,卢森堡,3,,0,3,0,0,0,2020-03-07
阿联酋,阿联酋,45,,7,45,7,0,0,2020-03-07
秘鲁,秘鲁,1,,0,1,0,0,0,2020-03-07
南非,南非,1,,0,1,0,0,0,2020-03-07
克罗地亚,克罗地亚,12,,0,12,0,0,0,2020-03-07
哥伦比亚,哥伦比亚,1,,0,1,0,0,0,2020-03-07
阿尔及利亚,阿尔及利亚,17,,0,17,0,0,0,2020-03-07
越南,越南,18,,16,18,16,0,0,2020-03-07
哥斯达黎加,哥斯达黎加,1,,0,1,0,0,0,2020-03-07
巴勒斯坦,巴勒斯坦,16,,0,16,0,0,0,2020-03-07
